,samples,RT
0,MAI5081A1153,D3
1,MAI5081A1154,D3
2,MAI5081A1155,D3
3,MAI5081A1156,D3
4,MAI5081A1157,D3
5,MAI5081A1158,D3
6,MAI5081A1159,D3
7,MAI5081A1160,D3
8,MAI5081A1161,D3
9,MAI5081A1162,D3
10,MAI5081A1163,D3
11,MAI5081A1164,D3
12,MAI5081A1165,D3
13,MAI5081A1166,D3
14,MAI5081A1167,D3
15,MAI5081A1168,D3
16,MAI5081A1169,D3
17,MAI5081A1170,D3
18,MAI5081A1171,D3
19,MAI5081A1172,D3
20,MAI5081A1173,D3
21,MAI5081A1174,D3
22,MAI5081A1175,D3
23,MAI5081A1176,D3
24,MAI5081A1177,D3
25,MAI5081A1178,D3
26,MAI5081A1179,D3
27,MAI5081A1180,D3
28,MAI5081A1181,D3
29,MAI5081A1182,D3
30,MAI5081A1183,D3
31,MAI5081A1184,D3
32,MAI5081A1185,D3
33,MAI5081A1186,D3
34,MAI5081A1187,D3
35,MAI5081A1188,D3
36,MAI5081A1189,D3
37,MAI5081A1190,D3
38,MAI5081A1191,D3
39,MAI5081A1192,D3
40,MAI5081A1193,D3
41,MAI5081A1194,D3
42,MAI5081A1195,D3
43,MAI5081A1196,D3
44,MAI5081A1197,D3
45,MAI5081A1198,D3
46,MAI5081A1199,D3
47,MAI5081A1200,D3
48,MAI5081A1201,D3
49,MAI5081A1202,D3
50,MAI5081A1203,D3
51,MAI5081A1204,D3
52,MAI5081A1205,D3
53,MAI5081A1206,D3
54,MAI5081A1207,D3
55,MAI5081A1208,D3
56,MAI5081A1209,D3
57,MAI5081A1210,D3
58,MAI5081A1211,D3
59,MAI5081A1212,D3
60,MAI5081A1213,D3
61,MAI5081A1214,D3
62,MAI5081A1215,D3
63,MAI5081A1216,D3
64,MAI5081A1217,D3
65,MAI5081A1218,D3
66,MAI5081A1219,D3
67,MAI5081A1220,D3
68,MAI5081A1221,D3
69,MAI5081A1222,D3
70,MAI5081A1223,D3
71,MAI5081A1224,D3
72,MAI5081A1225,D3
73,MAI5081A1226,D3
74,MAI5081A1227,D3
75,MAI5081A1228,D3
76,MAI5081A1229,D3
77,MAI5081A1230,D3
78,MAI5081A1231,D3
79,MAI5081A1232,D3
80,MAI5081A1233,D3
81,MAI5081A1234,D3
82,MAI5081A1235,D3
83,MAI5081A1236,D3
84,MAI5081A1237,D3
85,MAI5081A1238,D3
86,MAI5081A1239,D3
87,MAI5081A1240,D3
88,MAI5081A1241,D3
89,MAI5081A1242,D3
90,MAI5081A1243,D3
91,MAI5081A1244,D3
92,MAI5081A1245,D3
93,MAI5081A1246,D3
94,MAI5081A1247,D3
95,MAI5081A1248,D3
96,MAI5081A1249,D3
97,MAI5081A1250,D3
98,MAI5081A1251,D3
99,MAI5081A1252,D3
100,MAI5081A1253,D3
101,MAI5081A1254,D3
102,MAI5081A1255,D3
103,MAI5081A1256,D3
104,MAI5081A1257,D3
105,MAI5081A1258,D3
106,MAI5081A1259,D3
107,MAI5081A1260,D3
108,MAI5081A1261,D3
109,MAI5081A1262,D3
110,MAI5081A1263,D3
111,MAI5081A1264,D3
112,MAI5081A1265,D3
113,MAI5081A1266,D3
114,MAI5081A1267,D3
115,MAI5081A1268,D3
116,MAI5081A1269,D3
117,MAI5081A1270,D3
118,MAI5081A1271,D3
119,MAI5081A1272,D3
120,MAI5081A1273,D3
121,MAI5081A1274,D3
122,MAI5081A1275,D3
123,MAI5081A1276,D3
124,MAI5081A1277,D3
125,MAI5081A1278,D3
126,MAI5081A1279,D3
127,MAI5081A1280,D3
128,MAI5081A1281,D3
129,MAI5081A1282,D3
130,MAI5081A1283,D3
131,MAI5081A1284,D3
132,MAI5081A1285,D3
133,MAI5081A1286,D3
134,MAI5081A1287,D3
135,MAI5081A1288,D3
136,MAI5081A1289,D3
137,MAI5081A1290,D3
138,MAI5081A1291,D3
139,MAI5081A1292,D3
140,MAI5081A1293,D3
141,MAI5081A1294,D3
142,MAI5081A1295,D3
143,MAI5081A1296,D3
144,MAI5081A1297,D3
145,MAI5081A1298,D3
146,MAI5081A1299,D3
147,MAI5081A1300,D3
148,MAI5081A1301,D3
149,MAI5081A1302,D3
150,MAI5081A1303,D3
151,MAI5081A1304,D3
152,MAI5081A1305,D3
153,MAI5081A1306,D3
154,MAI5081A1307,D3
155,MAI5081A1308,D3
156,MAI5081A1309,D3
157,MAI5081A1310,D3
158,MAI5081A1311,D3
159,MAI5081A1312,D3
160,MAI5081A1313,D3
161,MAI5081A1314,D3
162,MAI5081A1315,D3
163,MAI5081A1316,D3
164,MAI5081A1317,D3
165,MAI5081A1318,D3
166,MAI5081A1319,D3
167,MAI5081A1320,D3
168,MAI5081A1321,D3
169,MAI5081A1322,D3
170,MAI5081A1323,D3
171,MAI5081A1324,D3
172,MAI5081A1325,D3
173,MAI5081A1326,D3
174,MAI5081A1327,D3
175,MAI5081A1328,D3
176,MAI5081A1329,D3
177,MAI5081A1330,D3
178,MAI5081A1331,D3
179,MAI5081A1332,D3
180,MAI5081A1333,D3
181,MAI5081A1334,D3
182,MAI5081A1335,D3
183,MAI5081A1336,D3
184,MAI5081A1337,D3
185,MAI5081A1338,D3
186,MAI5081A1339,D3
187,MAI5081A1340,D3
188,MAI5081A1341,D3
189,MAI5081A1342,D3
190,MAI5081A1343,D3
191,MAI5081A1344,D3
192,MAI5081A1345,D3
193,MAI5081A1346,D3
194,MAI5081A1347,D3
195,MAI5081A1348,D3
196,MAI5081A1349,D3
197,MAI5081A1350,D3
198,MAI5081A1351,D3
199,MAI5081A1352,D3
200,MAI5081A1353,D3
201,MAI5081A1354,D3
202,MAI5081A1355,D3
203,MAI5081A1356,D3
204,MAI5081A1357,D3
205,MAI5081A1358,D3
206,MAI5081A1359,D3
207,MAI5081A1360,D3
208,MAI5081A1361,D3
209,MAI5081A1362,D3
210,MAI5081A1363,D3
211,MAI5081A1364,D3
212,MAI5081A1365,D3
213,MAI5081A1366,D3
214,MAI5081A1367,D3
215,MAI5081A1368,D3
216,MAI5081A1369,D3
217,MAI5081A1370,D3
218,MAI5081A1371,D3
219,MAI5081A1372,D3
220,MAI5081A1373,D3
221,MAI5081A1374,D3
222,MAI5081A1375,D3
223,MAI5081A1376,D3
224,MAI5081A1377,D3
225,MAI5081A1378,D3
226,MAI5081A1379,D3
227,MAI5081A1380,D3
228,MAI5081A1381,D3
229,MAI5081A1382,D3
230,MAI5081A1383,D3
231,MAI5081A1384,D3
232,MAI5081A1385,D3
233,MAI5081A1386,D3
234,MAI5081A1387,D3
235,MAI5081A1388,D3
236,MAI5081A1389,D3
237,MAI5081A1390,D3
238,MAI5081A1391,D3
239,MAI5081A1392,D3
240,MAI5081A1393,D3
241,MAI5081A1394,D3
242,MAI5081A1395,D3
243,MAI5081A1396,D3
244,MAI5081A1397,D3
245,MAI5081A1398,D3
246,MAI5081A1399,D3
247,MAI5081A1400,D3
248,MAI5081A1401,D3
249,MAI5081A1402,D3
250,MAI5081A1403,D3
251,MAI5081A1404,D3
252,MAI5081A1405,D3
253,MAI5081A1406,D3
254,MAI5081A1407,D3
255,MAI5081A1408,D3
256,MAI5081A1409,D3
257,MAI5081A1410,D3
258,MAI5081A1411,D3
259,MAI5081A1412,D3
260,MAI5081A1413,D3
261,MAI5081A1414,D3
262,MAI5081A1415,D3
263,MAI5081A1416,D3
264,MAI5081A1417,D3
265,MAI5081A1418,D3
266,MAI5081A1419,D3
267,MAI5081A1420,D3
268,MAI5081A1421,D3
269,MAI5081A1422,D3
270,MAI5081A1423,D3
271,MAI5081A1424,D3
272,MAI5081A1425,D3
273,MAI5081A1426,D3
274,MAI5081A1427,D3
275,MAI5081A1428,D3
276,MAI5081A1429,D3
277,MAI5081A1430,D3
278,MAI5081A1431,D3
279,MAI5081A1432,D3
280,MAI5081A1433,D3
281,MAI5081A1434,D3
282,MAI5081A1435,D3
283,MAI5081A1436,D3
284,MAI5081A1437,D3
285,MAI5081A1438,D3
286,MAI5081A1439,D3
287,MAI5081A1440,D3
288,MAI5081A1441,D3
289,MAI5081A1442,D3
290,MAI5081A1443,D3
291,MAI5081A1444,D3
292,MAI5081A1445,D3
293,MAI5081A1446,D3
294,MAI5081A1447,D3
295,MAI5081A1448,D3
296,MAI5081A1449,D3
297,MAI5081A1450,D3
298,MAI5081A1451,D3
299,MAI5081A1452,D3
300,MAI5081A1453,D3
301,MAI5081A1454,D3
302,MAI5081A1455,D3
303,MAI5081A1456,D3
304,MAI5081A1457,D3
305,MAI5081A1458,D3
306,MAI5081A1459,D3
307,MAI5081A1460,D3
308,MAI5081A1461,D3
309,MAI5081A1462,D3
310,MAI5081A1463,D3
311,MAI5081A1464,D3
312,MAI5081A1465,D3
313,MAI5081A1466,D3
314,MAI5081A1467,D3
315,MAI5081A1468,D3
316,MAI5081A1469,D3
317,MAI5081A1470,D3
318,MAI5081A1471,D3
319,MAI5081A1472,D3
320,MAI5081A1473,D3
321,MAI5081A1474,D3
322,MAI5081A1475,D3
323,MAI5081A1476,D3
324,MAI5081A1477,D3
325,MAI5081A1478,D3
326,MAI5081A1479,D3
327,MAI5081A1480,D3
328,MAI5081A1481,D3
329,MAI5081A1482,D3
330,MAI5081A1483,D3
331,MAI5081A1484,D3
332,MAI5081A1485,D3
333,MAI5081A1486,D3
334,MAI5081A1487,D3
335,MAI5081A1488,D3
