,samples,RT
0,MAI5081A2689,05h
1,MAI5081A2690,05h
2,MAI5081A2691,05h
3,MAI5081A2692,05h
4,MAI5081A2693,05h
5,MAI5081A2694,05h
6,MAI5081A2695,05h
7,MAI5081A2696,05h
8,MAI5081A2697,05h
9,MAI5081A2698,05h
10,MAI5081A2699,05h
11,MAI5081A2700,05h
12,MAI5081A2701,05h
13,MAI5081A2702,05h
14,MAI5081A2703,05h
15,MAI5081A2704,05h
16,MAI5081A2705,05h
17,MAI5081A2706,05h
18,MAI5081A2707,05h
19,MAI5081A2708,05h
20,MAI5081A2709,05h
21,MAI5081A2710,05h
22,MAI5081A2711,05h
23,MAI5081A2712,05h
24,MAI5081A2713,05h
25,MAI5081A2714,05h
26,MAI5081A2715,05h
27,MAI5081A2716,05h
28,MAI5081A2717,05h
29,MAI5081A2718,05h
30,MAI5081A2719,05h
31,MAI5081A2720,05h
32,MAI5081A2721,05h
33,MAI5081A2722,05h
34,MAI5081A2723,05h
35,MAI5081A2724,05h
36,MAI5081A2725,05h
37,MAI5081A2726,05h
38,MAI5081A2727,05h
39,MAI5081A2728,05h
40,MAI5081A2729,05h
41,MAI5081A2730,05h
42,MAI5081A2731,05h
43,MAI5081A2732,05h
44,MAI5081A2733,05h
45,MAI5081A2734,05h
46,MAI5081A2735,05h
47,MAI5081A2736,05h
48,MAI5081A2737,05h
49,MAI5081A2738,05h
50,MAI5081A2739,05h
51,MAI5081A2740,05h
52,MAI5081A2741,05h
53,MAI5081A2742,05h
54,MAI5081A2743,05h
55,MAI5081A2744,05h
56,MAI5081A2745,05h
57,MAI5081A2746,05h
58,MAI5081A2747,05h
59,MAI5081A2748,05h
60,MAI5081A2749,05h
61,MAI5081A2750,05h
62,MAI5081A2751,05h
63,MAI5081A2752,05h
64,MAI5081A2753,05h
65,MAI5081A2754,05h
66,MAI5081A2755,05h
67,MAI5081A2756,05h
68,MAI5081A2757,05h
69,MAI5081A2758,05h
70,MAI5081A2759,05h
71,MAI5081A2760,05h
72,MAI5081A2761,05h
73,MAI5081A2762,05h
74,MAI5081A2763,05h
75,MAI5081A2764,05h
76,MAI5081A2765,05h
77,MAI5081A2766,05h
78,MAI5081A2767,05h
79,MAI5081A2768,05h
80,MAI5081A2769,05h
81,MAI5081A2770,05h
82,MAI5081A2771,05h
83,MAI5081A2772,05h
84,MAI5081A2773,05h
85,MAI5081A2774,05h
86,MAI5081A2775,05h
87,MAI5081A2776,05h
88,MAI5081A2777,05h
89,MAI5081A2778,05h
90,MAI5081A2779,05h
91,MAI5081A2780,05h
92,MAI5081A2781,05h
93,MAI5081A2782,05h
94,MAI5081A2783,05h
95,MAI5081A2784,05h
96,MAI5081A2785,05h
97,MAI5081A2786,05h
98,MAI5081A2787,05h
99,MAI5081A2788,05h
100,MAI5081A2789,05h
101,MAI5081A2790,05h
102,MAI5081A2791,05h
103,MAI5081A2792,05h
104,MAI5081A2793,05h
105,MAI5081A2794,05h
106,MAI5081A2795,05h
107,MAI5081A2796,05h
108,MAI5081A2797,05h
109,MAI5081A2798,05h
110,MAI5081A2799,05h
111,MAI5081A2800,05h
112,MAI5081A2801,05h
113,MAI5081A2802,05h
114,MAI5081A2803,05h
115,MAI5081A2804,05h
116,MAI5081A2805,05h
117,MAI5081A2806,05h
118,MAI5081A2807,05h
119,MAI5081A2808,05h
120,MAI5081A2809,05h
121,MAI5081A2810,05h
122,MAI5081A2811,05h
123,MAI5081A2812,05h
124,MAI5081A2813,05h
125,MAI5081A2814,05h
126,MAI5081A2815,05h
127,MAI5081A2816,05h
128,MAI5081A2817,05h
129,MAI5081A2818,05h
130,MAI5081A2819,05h
131,MAI5081A2820,05h
132,MAI5081A2821,05h
133,MAI5081A2822,05h
134,MAI5081A2823,05h
135,MAI5081A2824,05h
136,MAI5081A2825,05h
137,MAI5081A2826,05h
138,MAI5081A2827,05h
139,MAI5081A2828,05h
140,MAI5081A2829,05h
141,MAI5081A2830,05h
142,MAI5081A2831,05h
