,samples,PCR,RT
0,MAI5081A1,all,all
1,MAI5081A10,all,all
2,MAI5081A100,all,all
3,MAI5081A101,all,all
4,MAI5081A102,all,all
5,MAI5081A103,all,all
6,MAI5081A104,all,all
7,MAI5081A105,all,all
8,MAI5081A106,all,all
9,MAI5081A107,all,all
10,MAI5081A108,all,all
11,MAI5081A109,all,all
12,MAI5081A11,all,all
13,MAI5081A110,all,all
14,MAI5081A111,all,all
15,MAI5081A112,all,all
16,MAI5081A113,all,all
17,MAI5081A114,all,all
18,MAI5081A115,all,all
19,MAI5081A116,all,all
20,MAI5081A117,all,all
21,MAI5081A118,all,all
22,MAI5081A119,all,all
23,MAI5081A12,all,all
24,MAI5081A120,all,all
25,MAI5081A121,all,all
26,MAI5081A122,all,all
27,MAI5081A123,all,all
28,MAI5081A124,all,all
29,MAI5081A125,all,all
30,MAI5081A126,all,all
31,MAI5081A127,all,all
32,MAI5081A128,all,all
33,MAI5081A129,all,all
34,MAI5081A13,all,all
35,MAI5081A130,all,all
36,MAI5081A131,all,all
37,MAI5081A132,all,all
38,MAI5081A133,all,all
39,MAI5081A134,all,all
40,MAI5081A135,all,all
41,MAI5081A136,all,all
42,MAI5081A137,all,all
43,MAI5081A138,all,all
44,MAI5081A139,all,all
45,MAI5081A14,all,all
46,MAI5081A140,all,all
47,MAI5081A141,all,all
48,MAI5081A142,all,all
49,MAI5081A143,all,all
50,MAI5081A144,all,all
51,MAI5081A145,all,all
52,MAI5081A146,all,all
53,MAI5081A147,all,all
54,MAI5081A148,all,all
55,MAI5081A149,all,all
56,MAI5081A15,all,all
57,MAI5081A150,all,all
58,MAI5081A151,all,all
59,MAI5081A152,all,all
60,MAI5081A153,all,all
61,MAI5081A154,all,all
62,MAI5081A155,all,all
63,MAI5081A156,all,all
64,MAI5081A157,all,all
65,MAI5081A158,all,all
66,MAI5081A159,all,all
67,MAI5081A16,all,all
68,MAI5081A160,all,all
69,MAI5081A161,all,all
70,MAI5081A162,all,all
71,MAI5081A163,all,all
72,MAI5081A164,all,all
73,MAI5081A165,all,all
74,MAI5081A166,all,all
75,MAI5081A167,all,all
76,MAI5081A168,all,all
77,MAI5081A169,all,all
78,MAI5081A17,all,all
79,MAI5081A170,all,all
80,MAI5081A171,all,all
81,MAI5081A172,all,all
82,MAI5081A173,all,all
83,MAI5081A174,all,all
84,MAI5081A175,all,all
85,MAI5081A176,all,all
86,MAI5081A177,all,all
87,MAI5081A178,all,all
88,MAI5081A179,all,all
89,MAI5081A18,all,all
90,MAI5081A180,all,all
91,MAI5081A181,all,all
92,MAI5081A182,all,all
93,MAI5081A183,all,all
94,MAI5081A184,all,all
95,MAI5081A185,all,all
96,MAI5081A186,all,all
97,MAI5081A187,all,all
98,MAI5081A188,all,all
99,MAI5081A189,all,all
100,MAI5081A19,all,all
101,MAI5081A190,all,all
102,MAI5081A191,all,all
103,MAI5081A192,all,all
104,MAI5081A193,all,all
105,MAI5081A194,all,all
106,MAI5081A195,all,all
107,MAI5081A196,all,all
108,MAI5081A197,all,all
109,MAI5081A198,all,all
110,MAI5081A199,all,all
111,MAI5081A2,all,all
112,MAI5081A20,all,all
113,MAI5081A200,all,all
114,MAI5081A201,all,all
115,MAI5081A202,all,all
116,MAI5081A203,all,all
117,MAI5081A204,all,all
118,MAI5081A205,all,all
119,MAI5081A206,all,all
120,MAI5081A207,all,all
121,MAI5081A208,all,all
122,MAI5081A209,all,all
123,MAI5081A21,all,all
124,MAI5081A210,all,all
125,MAI5081A211,all,all
126,MAI5081A212,all,all
127,MAI5081A213,all,all
128,MAI5081A214,all,all
129,MAI5081A215,all,all
130,MAI5081A216,all,all
131,MAI5081A217,all,all
132,MAI5081A218,all,all
133,MAI5081A219,all,all
134,MAI5081A22,all,all
135,MAI5081A220,all,all
136,MAI5081A221,all,all
137,MAI5081A222,all,all
138,MAI5081A223,all,all
139,MAI5081A224,all,all
140,MAI5081A225,all,all
141,MAI5081A226,all,all
142,MAI5081A227,all,all
143,MAI5081A228,all,all
144,MAI5081A229,all,all
145,MAI5081A23,all,all
146,MAI5081A230,all,all
147,MAI5081A231,all,all
148,MAI5081A232,all,all
149,MAI5081A233,all,all
150,MAI5081A234,all,all
151,MAI5081A235,all,all
152,MAI5081A236,all,all
153,MAI5081A237,all,all
154,MAI5081A238,all,all
155,MAI5081A239,all,all
156,MAI5081A24,all,all
