,samples,PCR,RT
0,MAI1503A1000,old,NT
1,MAI1503A1001,old,NT
2,MAI1503A1002,old,NT
3,MAI1503A1003,old,NT
4,MAI1503A1004,old,NT
5,MAI1503A1005,old,NT
6,MAI1503A1006,old,NT
7,MAI1503A1007,old,NT
8,MAI1503A1008,old,NT
9,MAI1503A1009,old,NT
10,MAI1503A1010,old,NT
11,MAI1503A1011,old,NT
12,MAI1503A1012,old,NT
13,MAI1503A1013,old,NT
14,MAI1503A1014,old,NT
15,MAI1503A1015,old,NT
16,MAI1503A1016,old,NT
17,MAI1503A1017,old,NT
18,MAI1503A1018,old,NT
19,MAI1503A1019,old,NT
20,MAI1503A1020,old,NT
21,MAI1503A1021,old,NT
22,MAI1503A1022,old,NT
23,MAI1503A1023,old,NT
24,MAI1503A1024,old,NT
25,MAI1503A1025,old,NT
26,MAI1503A1026,old,NT
27,MAI1503A1027,old,NT
28,MAI1503A1028,old,NT
29,MAI1503A1029,old,NT
30,MAI1503A1030,old,NT
31,MAI1503A1031,old,NT
32,MAI1503A1032,old,NT
33,MAI1503A1033,old,NT
34,MAI1503A1034,old,NT
35,MAI1503A1035,old,NT
36,MAI1503A1036,old,NT
37,MAI1503A1037,old,NT
38,MAI1503A1038,old,NT
39,MAI1503A1039,old,NT
40,MAI1503A1040,old,NT
41,MAI1503A1041,old,NT
42,MAI1503A1042,old,NT
43,MAI1503A1043,old,NT
44,MAI1503A1044,old,NT
45,MAI1503A1045,old,NT
46,MAI1503A1046,old,NT
47,MAI1503A1047,old,NT
48,MAI1503A1048,old,NT
49,MAI1503A1049,old,NT
50,MAI1503A1050,old,NT
51,MAI1503A1051,old,NT
52,MAI1503A1052,old,NT
53,MAI1503A1053,old,NT
54,MAI1503A1054,old,NT
55,MAI1503A1055,old,NT
56,MAI1503A1056,old,NT
57,MAI1503A1057,old,NT
58,MAI1503A1058,old,NT
59,MAI1503A1059,old,NT
60,MAI1503A1060,old,NT
61,MAI1503A1061,old,NT
62,MAI1503A1062,old,NT
63,MAI1503A1063,old,NT
64,MAI1503A1064,old,NT
65,MAI1503A1065,old,NT
66,MAI1503A1066,old,NT
67,MAI1503A1067,old,NT
68,MAI1503A1068,old,NT
69,MAI1503A1069,old,NT
70,MAI1503A1070,old,NT
71,MAI1503A1071,old,NT
72,MAI1503A1072,old,NT
73,MAI1503A1073,old,NT
74,MAI1503A1074,old,NT
75,MAI1503A1075,old,NT
76,MAI1503A1076,old,NT
77,MAI1503A1077,old,NT
78,MAI1503A1078,old,NT
79,MAI1503A1079,old,NT
80,MAI1503A1080,old,NT
81,MAI1503A1081,old,NT
82,MAI1503A1082,old,NT
83,MAI1503A1083,old,NT
84,MAI1503A1084,old,NT
85,MAI1503A1085,old,NT
86,MAI1503A1086,old,NT
87,MAI1503A1087,old,NT
88,MAI1503A1088,old,NT
89,MAI1503A1089,old,NT
90,MAI1503A1090,old,NT
91,MAI1503A1091,old,NT
92,MAI1503A1092,old,NT
93,MAI1503A1093,old,NT
94,MAI1503A1094,old,NT
95,MAI1503A1095,old,NT
96,MAI1503A1000,old,IO
97,MAI1503A1001,old,IO
98,MAI1503A1002,old,IO
99,MAI1503A1003,old,IO
100,MAI1503A1004,old,IO
101,MAI1503A1005,old,IO
102,MAI1503A1006,old,IO
103,MAI1503A1007,old,IO
104,MAI1503A1008,old,IO
105,MAI1503A1009,old,IO
106,MAI1503A1010,old,IO
107,MAI1503A1011,old,IO
108,MAI1503A1012,old,IO
109,MAI1503A1013,old,IO
110,MAI1503A1014,old,IO
111,MAI1503A1015,old,IO
112,MAI1503A1016,old,IO
113,MAI1503A1017,old,IO
114,MAI1503A1018,old,IO
115,MAI1503A1019,old,IO
116,MAI1503A1020,old,IO
117,MAI1503A1021,old,IO
118,MAI1503A1022,old,IO
119,MAI1503A1023,old,IO
120,MAI1503A1024,old,IO
121,MAI1503A1025,old,IO
122,MAI1503A1026,old,IO
123,MAI1503A1027,old,IO
124,MAI1503A1028,old,IO
125,MAI1503A1029,old,IO
126,MAI1503A1030,old,IO
127,MAI1503A1031,old,IO
128,MAI1503A1032,old,IO
129,MAI1503A1033,old,IO
130,MAI1503A1034,old,IO
131,MAI1503A1035,old,IO
132,MAI1503A1036,old,IO
133,MAI1503A1037,old,IO
134,MAI1503A1038,old,IO
135,MAI1503A1039,old,IO
136,MAI1503A1040,old,IO
137,MAI1503A1041,old,IO
138,MAI1503A1042,old,IO
