,Sample limsid,Sample Name,plate,well,384_plate,sample_name
0,MAI1503A1000,index_set_040,1,A1,A1,old
1,MAI1503A1001,index_set_041,1,A2,A3,old
2,MAI1503A1002,index_set_042,1,A3,A5,old
3,MAI1503A1003,index_set_043,1,A4,A7,old
4,MAI1503A1004,index_set_044,1,A5,A9,old
5,MAI1503A1005,index_set_045,1,A6,A11,old
6,MAI1503A1006,index_set_046,1,A7,A13,old
7,MAI1503A1007,index_set_047,1,A8,A15,old
8,MAI1503A1008,index_set_048,1,A9,A17,old
9,MAI1503A1009,index_set_049,1,A10,A19,old
10,MAI1503A1010,index_set_050,1,A11,A21,old
11,MAI1503A1011,index_set_051,1,A12,A23,old
12,MAI1503A1012,index_set_052,1,B1,C1,old
13,MAI1503A1013,index_set_053,1,B2,C3,old
14,MAI1503A1014,index_set_054,1,B3,C5,old
15,MAI1503A1015,index_set_055,1,B4,C7,old
16,MAI1503A1016,index_set_056,1,B5,C9,old
17,MAI1503A1017,index_set_057,1,B6,C11,old
18,MAI1503A1018,index_set_058,1,B7,C13,old
19,MAI1503A1019,index_set_059,1,B8,C15,old
20,MAI1503A1020,index_set_060,1,B9,C17,old
21,MAI1503A1021,index_set_061,1,B10,C19,old
22,MAI1503A1022,index_set_062,1,B11,C21,old
23,MAI1503A1023,index_set_063,1,B12,C23,old
24,MAI1503A1024,index_set_064,1,C1,E1,old
25,MAI1503A1025,index_set_065,1,C2,E3,old
26,MAI1503A1026,index_set_066,1,C3,E5,old
27,MAI1503A1027,index_set_067,1,C4,E7,old
28,MAI1503A1028,index_set_068,1,C5,E9,old
29,MAI1503A1029,index_set_069,1,C6,E11,old
30,MAI1503A1030,index_set_070,1,C7,E13,old
31,MAI1503A1031,index_set_071,1,C8,E15,old
32,MAI1503A1032,index_set_072,1,C9,E17,old
33,MAI1503A1033,index_set_073,1,C10,E19,old
34,MAI1503A1034,index_set_074,1,C11,E21,old
35,MAI1503A1035,index_set_075,1,C12,E23,old
36,MAI1503A1036,index_set_076,1,D1,G1,old
37,MAI1503A1037,index_set_077,1,D2,G3,old
38,MAI1503A1038,index_set_078,1,D3,G5,old
39,MAI1503A1039,index_set_079,1,D4,G7,old
40,MAI1503A1040,index_set_080,1,D5,G9,old
41,MAI1503A1041,index_set_081,1,D6,G11,old
42,MAI1503A1042,index_set_082,1,D7,G13,old
43,MAI1503A1043,index_set_083,1,D8,G15,old
44,MAI1503A1044,index_set_084,1,D9,G17,old
45,MAI1503A1045,index_set_085,1,D10,G19,old
46,MAI1503A1046,index_set_086,1,D11,G21,old
47,MAI1503A1047,index_set_087,1,D12,G23,old
48,MAI1503A1048,index_set_088,1,E1,I1,old
49,MAI1503A1049,index_set_089,1,E2,I3,old
50,MAI1503A1050,index_set_090,1,E3,I5,old
51,MAI1503A1051,index_set_091,1,E4,I7,old
52,MAI1503A1052,index_set_092,1,E5,I9,old
53,MAI1503A1053,index_set_093,1,E6,I11,old
54,MAI1503A1054,index_set_094,1,E7,I13,old
55,MAI1503A1055,index_set_095,1,E8,I15,old
56,MAI1503A1056,index_set_096,1,E9,I17,old
57,MAI1503A1057,index_set_097,1,E10,I19,old
58,MAI1503A1058,index_set_098,1,E11,I21,old
59,MAI1503A1059,index_set_099,1,E12,I23,old
60,MAI1503A1060,index_set_100,1,F1,K1,old
61,MAI1503A1061,index_set_101,1,F2,K3,old
62,MAI1503A1062,index_set_102,1,F3,K5,old
63,MAI1503A1063,index_set_103,1,F4,K7,old
64,MAI1503A1064,index_set_104,1,F5,K9,old
65,MAI1503A1065,index_set_105,1,F6,K11,old
66,MAI1503A1066,index_set_106,1,F7,K13,old
67,MAI1503A1067,index_set_107,1,F8,K15,old
68,MAI1503A1068,index_set_108,1,F9,K17,old
69,MAI1503A1069,index_set_109,1,F10,K19,old
70,MAI1503A1070,index_set_110,1,F11,K21,old
71,MAI1503A1071,index_set_111,1,F12,K23,old
72,MAI1503A1072,index_set_112,1,G1,M1,old
73,MAI1503A1073,index_set_113,1,G2,M3,old
74,MAI1503A1074,index_set_114,1,G3,M5,old
75,MAI1503A1075,index_set_115,1,G4,M7,old
76,MAI1503A1076,index_set_116,1,G5,M9,old
77,MAI1503A1077,index_set_117,1,G6,M11,old
78,MAI1503A1078,index_set_118,1,G7,M13,old
79,MAI1503A1079,index_set_119,1,G8,M15,old
80,MAI1503A1080,index_set_120,1,G9,M17,old
81,MAI1503A1081,index_set_121,1,G10,M19,old
82,MAI1503A1082,index_set_122,1,G11,M21,old
83,MAI1503A1083,index_set_123,1,G12,M23,old
84,MAI1503A1084,index_set_124,1,H1,O1,old
85,MAI1503A1085,index_set_125,1,H2,O3,old
86,MAI1503A1086,index_set_126,1,H3,O5,old
87,MAI1503A1087,index_set_127,1,H4,O7,old
88,MAI1503A1088,index_set_128,1,H5,O9,old
89,MAI1503A1089,index_set_129,1,H6,O11,old
90,MAI1503A1090,index_set_130,1,H7,O13,old
91,MAI1503A1091,index_set_131,1,H8,O15,old
92,MAI1503A1092,index_set_132,1,H9,O17,old
93,MAI1503A1093,index_set_133,1,H10,O19,old
94,MAI1503A1094,index_set_134,1,H11,O21,old
95,MAI1503A1095,index_set_135,1,H12,O23,old
96,MAI1503A1096,index_set_136,2,A1,A2,qia
97,MAI1503A1097,index_set_137,2,A2,A4,qia
98,MAI1503A1098,index_set_138,2,A3,A6,qia
99,MAI1503A1099,index_set_139,2,A4,A8,qia
100,MAI1503A1100,index_set_140,2,A5,A10,qia
101,MAI1503A1101,index_set_141,2,A6,A12,qia
102,MAI1503A1102,index_set_142,2,A7,A14,qia
103,MAI1503A1103,index_set_143,2,A8,A16,qia
104,MAI1503A1104,index_set_144,2,A9,A18,qia
105,MAI1503A1105,index_set_145,2,A10,A20,qia
106,MAI1503A1106,index_set_146,2,A11,A22,qia
107,MAI1503A1107,index_set_147,2,A12,A24,qia
108,MAI1503A1108,index_set_148,2,B1,C2,qia
109,MAI1503A1109,index_set_149,2,B2,C4,qia
110,MAI1503A1110,index_set_150,2,B3,C6,qia
111,MAI1503A1111,index_set_151,2,B4,C8,qia
112,MAI1503A1112,index_set_152,2,B5,C10,qia
113,MAI1503A1113,index_set_153,2,B6,C12,qia
114,MAI1503A1114,index_set_154,2,B7,C14,qia
115,MAI1503A1115,index_set_155,2,B8,C16,qia
116,MAI1503A1116,index_set_156,2,B9,C18,qia
117,MAI1503A1117,index_set_157,2,B10,C20,qia
118,MAI1503A1118,index_set_158,2,B11,C22,qia
119,MAI1503A1119,index_set_159,2,B12,C24,qia
120,MAI1503A1120,index_set_160,2,C1,E2,qia
121,MAI1503A1121,index_set_161,2,C2,E4,qia
122,MAI1503A1122,index_set_162,2,C3,E6,qia
123,MAI1503A1123,index_set_163,2,C4,E8,qia
124,MAI1503A1124,index_set_164,2,C5,E10,qia
125,MAI1503A1125,index_set_165,2,C6,E12,qia
126,MAI1503A1126,index_set_166,2,C7,E14,qia
127,MAI1503A1127,index_set_167,2,C8,E16,qia
128,MAI1503A1128,index_set_168,2,C9,E18,qia
129,MAI1503A1129,index_set_169,2,C10,E20,qia
130,MAI1503A1130,index_set_170,2,C11,E22,qia
131,MAI1503A1131,index_set_171,2,C12,E24,qia
132,MAI1503A1132,index_set_172,2,D1,G2,qia
133,MAI1503A1133,index_set_173,2,D2,G4,qia
134,MAI1503A1134,index_set_174,2,D3,G6,qia
135,MAI1503A1135,index_set_175,2,D4,G8,qia
136,MAI1503A1136,index_set_176,2,D5,G10,qia
137,MAI1503A1137,index_set_177,2,D6,G12,qia
138,MAI1503A1138,index_set_178,2,D7,G14,qia
139,MAI1503A1139,index_set_179,2,D8,G16,qia
140,MAI1503A1140,index_set_180,2,D9,G18,qia
141,MAI1503A1141,index_set_181,2,D10,G20,qia
142,MAI1503A1142,index_set_182,2,D11,G22,qia
143,MAI1503A1143,index_set_183,2,D12,G24,qia
144,MAI1503A1144,index_set_184,2,E1,I2,qia
145,MAI1503A1145,index_set_185,2,E2,I4,qia
146,MAI1503A1146,index_set_186,2,E3,I6,qia
147,MAI1503A1147,index_set_187,2,E4,I8,qia
148,MAI1503A1148,index_set_188,2,E5,I10,qia
149,MAI1503A1149,index_set_189,2,E6,I12,qia
150,MAI1503A1150,index_set_190,2,E7,I14,qia
151,MAI1503A1151,index_set_191,2,E8,I16,qia
152,MAI1503A1152,index_set_192,2,E9,I18,qia
153,MAI1503A1153,index_set_193,2,E10,I20,qia
154,MAI1503A1154,index_set_194,2,E11,I22,qia
155,MAI1503A1155,index_set_195,2,E12,I24,qia
156,MAI1503A1156,index_set_196,2,F1,K2,qia
157,MAI1503A1157,index_set_197,2,F2,K4,qia
158,MAI1503A1158,index_set_198,2,F3,K6,qia
159,MAI1503A1159,index_set_199,2,F4,K8,qia
160,MAI1503A1160,index_set_200,2,F5,K10,qia
161,MAI1503A1161,index_set_201,2,F6,K12,qia
