,samples,PCR,RT
0,MAI1503A577,all,NT
1,MAI1503A578,all,NT
2,MAI1503A579,all,NT
3,MAI1503A580,all,NT
4,MAI1503A581,all,NT
5,MAI1503A582,all,NT
6,MAI1503A583,all,NT
7,MAI1503A584,all,NT
8,MAI1503A585,all,NT
9,MAI1503A586,all,NT
10,MAI1503A587,all,NT
11,MAI1503A588,all,NT
12,MAI1503A589,all,NT
13,MAI1503A590,all,NT
14,MAI1503A591,all,NT
15,MAI1503A592,all,NT
16,MAI1503A593,all,NT
17,MAI1503A594,all,NT
18,MAI1503A595,all,NT
19,MAI1503A596,all,NT
20,MAI1503A597,all,NT
21,MAI1503A598,all,NT
22,MAI1503A599,all,NT
23,MAI1503A600,all,NT
24,MAI1503A601,all,NT
25,MAI1503A602,all,NT
26,MAI1503A603,all,NT
27,MAI1503A604,all,NT
28,MAI1503A605,all,NT
29,MAI1503A606,all,NT
30,MAI1503A607,all,NT
31,MAI1503A608,all,NT
32,MAI1503A609,all,NT
33,MAI1503A610,all,NT
34,MAI1503A611,all,NT
35,MAI1503A612,all,NT
36,MAI1503A613,all,NT
37,MAI1503A614,all,NT
38,MAI1503A615,all,NT
39,MAI1503A616,all,NT
40,MAI1503A617,all,NT
41,MAI1503A618,all,NT
42,MAI1503A619,all,NT
43,MAI1503A620,all,NT
44,MAI1503A621,all,NT
45,MAI1503A622,all,NT
46,MAI1503A623,all,NT
47,MAI1503A624,all,NT
48,MAI1503A625,all,NT
49,MAI1503A626,all,NT
50,MAI1503A627,all,NT
51,MAI1503A628,all,NT
52,MAI1503A629,all,NT
53,MAI1503A630,all,NT
54,MAI1503A631,all,NT
55,MAI1503A632,all,NT
56,MAI1503A633,all,NT
57,MAI1503A634,all,NT
58,MAI1503A635,all,NT
59,MAI1503A636,all,NT
60,MAI1503A637,all,NT
61,MAI1503A638,all,NT
62,MAI1503A639,all,NT
63,MAI1503A640,all,NT
64,MAI1503A641,all,NT
65,MAI1503A642,all,NT
66,MAI1503A643,all,NT
