,samples,PCR,RT
0,MAI1503A1000,all,NT
1,MAI1503A1001,all,NT
2,MAI1503A1002,all,NT
3,MAI1503A1003,all,NT
4,MAI1503A1004,all,NT
5,MAI1503A1005,all,NT
6,MAI1503A1006,all,NT
7,MAI1503A1007,all,NT
8,MAI1503A1008,all,NT
9,MAI1503A1009,all,NT
10,MAI1503A1010,all,NT
11,MAI1503A1011,all,NT
12,MAI1503A1012,all,NT
13,MAI1503A1013,all,NT
14,MAI1503A1014,all,NT
15,MAI1503A1015,all,NT
16,MAI1503A1016,all,NT
17,MAI1503A1017,all,NT
18,MAI1503A1018,all,NT
19,MAI1503A1019,all,NT
20,MAI1503A1020,all,NT
21,MAI1503A1021,all,NT
22,MAI1503A1022,all,NT
23,MAI1503A1023,all,NT
24,MAI1503A1024,all,NT
25,MAI1503A1025,all,NT
26,MAI1503A1026,all,NT
27,MAI1503A1027,all,NT
28,MAI1503A1028,all,NT
29,MAI1503A1029,all,NT
30,MAI1503A1030,all,NT
31,MAI1503A1031,all,NT
32,MAI1503A1032,all,NT
33,MAI1503A1033,all,NT
34,MAI1503A1034,all,NT
35,MAI1503A1035,all,NT
36,MAI1503A1036,all,NT
37,MAI1503A1037,all,NT
38,MAI1503A1038,all,NT
39,MAI1503A1039,all,NT
40,MAI1503A1040,all,NT
41,MAI1503A1041,all,NT
42,MAI1503A1042,all,NT
43,MAI1503A1043,all,NT
44,MAI1503A1044,all,NT
45,MAI1503A1045,all,NT
46,MAI1503A1046,all,NT
47,MAI1503A1047,all,NT
48,MAI1503A1048,all,NT
49,MAI1503A1049,all,NT
50,MAI1503A1050,all,NT
51,MAI1503A1051,all,NT
52,MAI1503A1052,all,NT
53,MAI1503A1053,all,NT
54,MAI1503A1054,all,NT
55,MAI1503A1055,all,NT
56,MAI1503A1056,all,NT
57,MAI1503A1057,all,NT
58,MAI1503A1058,all,NT
59,MAI1503A1059,all,NT
60,MAI1503A1060,all,NT
61,MAI1503A1061,all,NT
62,MAI1503A1062,all,NT
63,MAI1503A1063,all,NT
64,MAI1503A1064,all,NT
65,MAI1503A1065,all,NT
66,MAI1503A1066,all,NT
67,MAI1503A1067,all,NT
68,MAI1503A1068,all,NT
69,MAI1503A1069,all,NT
70,MAI1503A1070,all,NT
71,MAI1503A1071,all,NT
72,MAI1503A1072,all,NT
73,MAI1503A1073,all,NT
74,MAI1503A1074,all,NT
75,MAI1503A1075,all,NT
76,MAI1503A1076,all,NT
77,MAI1503A1077,all,NT
78,MAI1503A1078,all,NT
79,MAI1503A1079,all,NT
80,MAI1503A1080,all,NT
81,MAI1503A1081,all,NT
82,MAI1503A1082,all,NT
83,MAI1503A1083,all,NT
84,MAI1503A1084,all,NT
85,MAI1503A1085,all,NT
86,MAI1503A1086,all,NT
87,MAI1503A1087,all,NT
88,MAI1503A1088,all,NT
89,MAI1503A1089,all,NT
90,MAI1503A1090,all,NT
91,MAI1503A1091,all,NT
92,MAI1503A1092,all,NT
93,MAI1503A1093,all,NT
94,MAI1503A1094,all,NT
95,MAI1503A1095,all,NT
96,MAI1503A1096,all,NT
97,MAI1503A1097,all,NT
98,MAI1503A1098,all,NT
99,MAI1503A1099,all,NT
100,MAI1503A1100,all,NT
101,MAI1503A1101,all,NT
102,MAI1503A1102,all,NT
103,MAI1503A1103,all,NT
104,MAI1503A1104,all,NT
105,MAI1503A1105,all,NT
106,MAI1503A1106,all,NT
107,MAI1503A1107,all,NT
108,MAI1503A1108,all,NT
109,MAI1503A1109,all,NT
110,MAI1503A1110,all,NT
111,MAI1503A1111,all,NT
112,MAI1503A1112,all,NT
113,MAI1503A1113,all,NT
114,MAI1503A1114,all,NT
115,MAI1503A1115,all,NT
116,MAI1503A1116,all,NT
117,MAI1503A1117,all,NT
118,MAI1503A1118,all,NT
119,MAI1503A1119,all,NT
120,MAI1503A1120,all,NT
121,MAI1503A1121,all,NT
122,MAI1503A1122,all,NT
123,MAI1503A1123,all,NT
124,MAI1503A1124,all,NT
125,MAI1503A1125,all,NT
126,MAI1503A1126,all,NT
