,Sample limsid,Sample Name,plate,well,384_plate,sample_name
0,MAI5081A1,index_set_001,1,A1,A1,all
1,MAI5081A10,index_set_010,1,A2,A3,all
2,MAI5081A100,index_set_100,1,A3,A5,all
3,MAI5081A101,index_set_101,1,A4,A7,all
4,MAI5081A102,index_set_102,1,A5,A9,all
5,MAI5081A103,index_set_103,1,A6,A11,all
6,MAI5081A104,index_set_104,1,A7,A13,all
7,MAI5081A105,index_set_105,1,A8,A15,all
8,MAI5081A106,index_set_106,1,A9,A17,all
9,MAI5081A107,index_set_107,1,A10,A19,all
10,MAI5081A108,index_set_108,1,A11,A21,all
11,MAI5081A109,index_set_109,1,A12,A23,all
12,MAI5081A11,index_set_011,1,B1,C1,all
13,MAI5081A110,index_set_110,1,B2,C3,all
14,MAI5081A111,index_set_111,1,B3,C5,all
15,MAI5081A112,index_set_112,1,B4,C7,all
16,MAI5081A113,index_set_113,1,B5,C9,all
17,MAI5081A114,index_set_114,1,B6,C11,all
18,MAI5081A115,index_set_115,1,B7,C13,all
19,MAI5081A116,index_set_116,1,B8,C15,all
20,MAI5081A117,index_set_117,1,B9,C17,all
21,MAI5081A118,index_set_118,1,B10,C19,all
22,MAI5081A119,index_set_119,1,B11,C21,all
23,MAI5081A12,index_set_012,1,B12,C23,all
24,MAI5081A120,index_set_120,1,C1,E1,all
25,MAI5081A121,index_set_121,1,C2,E3,all
26,MAI5081A122,index_set_122,1,C3,E5,all
27,MAI5081A123,index_set_123,1,C4,E7,all
28,MAI5081A124,index_set_124,1,C5,E9,all
29,MAI5081A125,index_set_125,1,C6,E11,all
30,MAI5081A126,index_set_126,1,C7,E13,all
31,MAI5081A127,index_set_127,1,C8,E15,all
32,MAI5081A128,index_set_128,1,C9,E17,all
33,MAI5081A129,index_set_129,1,C10,E19,all
34,MAI5081A13,index_set_013,1,C11,E21,all
35,MAI5081A130,index_set_130,1,C12,E23,all
36,MAI5081A131,index_set_131,1,D1,G1,all
37,MAI5081A132,index_set_132,1,D2,G3,all
38,MAI5081A133,index_set_133,1,D3,G5,all
39,MAI5081A134,index_set_134,1,D4,G7,all
40,MAI5081A135,index_set_135,1,D5,G9,all
41,MAI5081A136,index_set_136,1,D6,G11,all
42,MAI5081A137,index_set_137,1,D7,G13,all
43,MAI5081A138,index_set_138,1,D8,G15,all
44,MAI5081A139,index_set_139,1,D9,G17,all
45,MAI5081A14,index_set_014,1,D10,G19,all
46,MAI5081A140,index_set_140,1,D11,G21,all
47,MAI5081A141,index_set_141,1,D12,G23,all
48,MAI5081A142,index_set_142,1,E1,I1,all
49,MAI5081A143,index_set_143,1,E2,I3,all
50,MAI5081A144,index_set_144,1,E3,I5,all
51,MAI5081A145,index_set_145,1,E4,I7,all
52,MAI5081A146,index_set_146,1,E5,I9,all
53,MAI5081A147,index_set_147,1,E6,I11,all
54,MAI5081A148,index_set_148,1,E7,I13,all
55,MAI5081A149,index_set_149,1,E8,I15,all
56,MAI5081A15,index_set_015,1,E9,I17,all
57,MAI5081A150,index_set_150,1,E10,I19,all
58,MAI5081A151,index_set_151,1,E11,I21,all
59,MAI5081A152,index_set_152,1,E12,I23,all
60,MAI5081A153,index_set_153,1,F1,K1,all
61,MAI5081A154,index_set_154,1,F2,K3,all
62,MAI5081A155,index_set_155,1,F3,K5,all
63,MAI5081A156,index_set_156,1,F4,K7,all
64,MAI5081A157,index_set_157,1,F5,K9,all
65,MAI5081A158,index_set_158,1,F6,K11,all
66,MAI5081A159,index_set_159,1,F7,K13,all
67,MAI5081A16,index_set_016,1,F8,K15,all
68,MAI5081A160,index_set_160,1,F9,K17,all
69,MAI5081A161,index_set_161,1,F10,K19,all
70,MAI5081A162,index_set_162,1,F11,K21,all
71,MAI5081A163,index_set_163,1,F12,K23,all
72,MAI5081A164,index_set_164,1,G1,M1,all
73,MAI5081A165,index_set_165,1,G2,M3,all
74,MAI5081A166,index_set_166,1,G3,M5,all
75,MAI5081A167,index_set_167,1,G4,M7,all
76,MAI5081A168,index_set_168,1,G5,M9,all
77,MAI5081A169,index_set_169,1,G6,M11,all
78,MAI5081A17,index_set_017,1,G7,M13,all
79,MAI5081A170,index_set_170,1,G8,M15,all
80,MAI5081A171,index_set_171,1,G9,M17,all
81,MAI5081A172,index_set_172,1,G10,M19,all
82,MAI5081A173,index_set_173,1,G11,M21,all
83,MAI5081A174,index_set_174,1,G12,M23,all
84,MAI5081A175,index_set_175,1,H1,O1,all
85,MAI5081A176,index_set_176,1,H2,O3,all
86,MAI5081A177,index_set_177,1,H3,O5,all
87,MAI5081A178,index_set_178,1,H4,O7,all
88,MAI5081A179,index_set_179,1,H5,O9,all
89,MAI5081A18,index_set_018,1,H6,O11,all
90,MAI5081A180,index_set_180,1,H7,O13,all
91,MAI5081A181,index_set_181,1,H8,O15,all
92,MAI5081A182,index_set_182,1,H9,O17,all
93,MAI5081A183,index_set_183,1,H10,O19,all
94,MAI5081A184,index_set_184,1,H11,O21,all
95,MAI5081A185,index_set_185,1,H12,O23,all
