,samples,RT
0,MAI1502A385,all
1,MAI1502A386,all
2,MAI1502A387,all
3,MAI1502A388,all
4,MAI1502A389,all
5,MAI1502A390,all
6,MAI1502A391,all
7,MAI1502A392,all
8,MAI1502A393,all
9,MAI1502A394,all
10,MAI1502A395,all
11,MAI1502A396,all
12,MAI1502A397,all
13,MAI1502A398,all
14,MAI1502A399,all
15,MAI1502A400,all
16,MAI1502A401,all
17,MAI1502A402,all
18,MAI1502A403,all
19,MAI1502A404,all
20,MAI1502A405,all
21,MAI1502A406,all
22,MAI1502A407,all
23,MAI1502A408,all
24,MAI1502A409,all
25,MAI1502A410,all
26,MAI1502A411,all
27,MAI1502A412,all
28,MAI1502A413,all
29,MAI1502A414,all
30,MAI1502A415,all
31,MAI1502A416,all
32,MAI1502A417,all
33,MAI1502A418,all
34,MAI1502A419,all
35,MAI1502A420,all
36,MAI1502A421,all
37,MAI1502A422,all
38,MAI1502A423,all
39,MAI1502A424,all
40,MAI1502A425,all
41,MAI1502A426,all
42,MAI1502A427,all
43,MAI1502A428,all
44,MAI1502A429,all
45,MAI1502A430,all
46,MAI1502A431,all
47,MAI1502A432,all
48,MAI1502A433,all
49,MAI1502A434,all
50,MAI1502A435,all
51,MAI1502A436,all
52,MAI1502A437,all
53,MAI1502A438,all
54,MAI1502A439,all
55,MAI1502A440,all
56,MAI1502A441,all
57,MAI1502A442,all
58,MAI1502A443,all
59,MAI1502A444,all
60,MAI1502A445,all
61,MAI1502A446,all
62,MAI1502A447,all
63,MAI1502A448,all
64,MAI1502A449,all
65,MAI1502A450,all
66,MAI1502A451,all
67,MAI1502A452,all
68,MAI1502A453,all
69,MAI1502A454,all
70,MAI1502A455,all
71,MAI1502A456,all
72,MAI1502A457,all
73,MAI1502A458,all
74,MAI1502A459,all
75,MAI1502A460,all
76,MAI1502A461,all
77,MAI1502A462,all
78,MAI1502A463,all
79,MAI1502A464,all
80,MAI1502A465,all
81,MAI1502A466,all
82,MAI1502A467,all
83,MAI1502A468,all
84,MAI1502A469,all
85,MAI1502A470,all
86,MAI1502A471,all
87,MAI1502A472,all
88,MAI1502A473,all
89,MAI1502A474,all
90,MAI1502A475,all
91,MAI1502A476,all
92,MAI1502A477,all
93,MAI1502A478,all
94,MAI1502A479,all
95,MAI1502A480,all
96,MAI1502A481,all
97,MAI1502A482,all
98,MAI1502A483,all
99,MAI1502A484,all
100,MAI1502A485,all
101,MAI1502A486,all
102,MAI1502A487,all
103,MAI1502A488,all
104,MAI1502A489,all
105,MAI1502A490,all
106,MAI1502A491,all
107,MAI1502A492,all
108,MAI1502A493,all
109,MAI1502A494,all
110,MAI1502A495,all
111,MAI1502A496,all
112,MAI1502A497,all
113,MAI1502A498,all
114,MAI1502A499,all
115,MAI1502A500,all
116,MAI1502A501,all
117,MAI1502A502,all
118,MAI1502A503,all
119,MAI1502A504,all
120,MAI1502A505,all
121,MAI1502A506,all
122,MAI1502A507,all
123,MAI1502A508,all
124,MAI1502A509,all
125,MAI1502A510,all
126,MAI1502A511,all
127,MAI1502A512,all
128,MAI1502A513,all
129,MAI1502A514,all
130,MAI1502A515,all
131,MAI1502A516,all
132,MAI1502A517,all
133,MAI1502A518,all
134,MAI1502A519,all
135,MAI1502A520,all
136,MAI1502A521,all
137,MAI1502A522,all
138,MAI1502A523,all
139,MAI1502A524,all
140,MAI1502A525,all
141,MAI1502A526,all
142,MAI1502A527,all
143,MAI1502A528,all
144,MAI1502A529,all
145,MAI1502A530,all
146,MAI1502A531,all
147,MAI1502A532,all
148,MAI1502A533,all
149,MAI1502A534,all
150,MAI1502A535,all
151,MAI1502A536,all
152,MAI1502A537,all
153,MAI1502A538,all
154,MAI1502A539,all
155,MAI1502A540,all
156,MAI1502A541,all
157,MAI1502A542,all
158,MAI1502A543,all
159,MAI1502A544,all
160,MAI1502A545,all
161,MAI1502A546,all
162,MAI1502A547,all
163,MAI1502A548,all
164,MAI1502A549,all
165,MAI1502A550,all
166,MAI1502A551,all
167,MAI1502A552,all
168,MAI1502A553,all
169,MAI1502A554,all
170,MAI1502A555,all
171,MAI1502A556,all
172,MAI1502A557,all
173,MAI1502A558,all
174,MAI1502A559,all
175,MAI1502A560,all
176,MAI1502A561,all
177,MAI1502A562,all
178,MAI1502A563,all
179,MAI1502A564,all
180,MAI1502A565,all
181,MAI1502A566,all
182,MAI1502A567,all
183,MAI1502A568,all
184,MAI1502A569,all
185,MAI1502A570,all
186,MAI1502A571,all
187,MAI1502A572,all
188,MAI1502A573,all
189,MAI1502A574,all
190,MAI1502A575,all
191,MAI1502A576,all
192,MAI1502A577,all
193,MAI1502A578,all
194,MAI1502A579,all
195,MAI1502A580,all
196,MAI1502A581,all
197,MAI1502A582,all
198,MAI1502A583,all
199,MAI1502A584,all
200,MAI1502A585,all
201,MAI1502A586,all
202,MAI1502A587,all
203,MAI1502A588,all
204,MAI1502A589,all
205,MAI1502A590,all
206,MAI1502A591,all
207,MAI1502A592,all
208,MAI1502A593,all
209,MAI1502A594,all
210,MAI1502A595,all
211,MAI1502A596,all
212,MAI1502A597,all
213,MAI1502A598,all
214,MAI1502A599,all
215,MAI1502A600,all
216,MAI1502A601,all
217,MAI1502A602,all
218,MAI1502A603,all
219,MAI1502A604,all
220,MAI1502A605,all
221,MAI1502A606,all
222,MAI1502A607,all
223,MAI1502A608,all
224,MAI1502A609,all
225,MAI1502A610,all
226,MAI1502A611,all
227,MAI1502A612,all
228,MAI1502A613,all
229,MAI1502A614,all
230,MAI1502A615,all
231,MAI1502A616,all
232,MAI1502A617,all
233,MAI1502A618,all
234,MAI1502A619,all
235,MAI1502A620,all
236,MAI1502A621,all
237,MAI1502A622,all
238,MAI1502A623,all
239,MAI1502A624,all
240,MAI1502A625,all
241,MAI1502A626,all
242,MAI1502A627,all
243,MAI1502A628,all
244,MAI1502A629,all
245,MAI1502A630,all
246,MAI1502A631,all
247,MAI1502A632,all
248,MAI1502A633,all
249,MAI1502A634,all
250,MAI1502A635,all
251,MAI1502A636,all
252,MAI1502A637,all
253,MAI1502A638,all
254,MAI1502A639,all
255,MAI1502A640,all
256,MAI1502A641,all
257,MAI1502A642,all
258,MAI1502A643,all
259,MAI1502A644,all
260,MAI1502A645,all
261,MAI1502A646,all
262,MAI1502A647,all
263,MAI1502A648,all
264,MAI1502A649,all
265,MAI1502A650,all
266,MAI1502A651,all
267,MAI1502A652,all
268,MAI1502A653,all
269,MAI1502A654,all
270,MAI1502A655,all
271,MAI1502A656,all
272,MAI1502A657,all
273,MAI1502A658,all
274,MAI1502A659,all
275,MAI1502A660,all
276,MAI1502A661,all
277,MAI1502A662,all
278,MAI1502A663,all
279,MAI1502A664,all
280,MAI1502A665,all
281,MAI1502A666,all
282,MAI1502A667,all
283,MAI1502A668,all
284,MAI1502A669,all
285,MAI1502A670,all
286,MAI1502A671,all
287,MAI1502A672,all
288,MAI1502A673,all
289,MAI1502A674,all
290,MAI1502A675,all
291,MAI1502A676,all
292,MAI1502A677,all
293,MAI1502A678,all
294,MAI1502A679,all
295,MAI1502A680,all
296,MAI1502A681,all
297,MAI1502A682,all
298,MAI1502A683,all
299,MAI1502A684,all
300,MAI1502A685,all
301,MAI1502A686,all
302,MAI1502A687,all
303,MAI1502A688,all
304,MAI1502A689,all
305,MAI1502A690,all
306,MAI1502A691,all
307,MAI1502A692,all
308,MAI1502A693,all
309,MAI1502A694,all
310,MAI1502A695,all
311,MAI1502A696,all
312,MAI1502A697,all
313,MAI1502A698,all
314,MAI1502A699,all
315,MAI1502A700,all
316,MAI1502A701,all
317,MAI1502A702,all
318,MAI1502A703,all
319,MAI1502A704,all
320,MAI1502A705,all
321,MAI1502A706,all
322,MAI1502A707,all
323,MAI1502A708,all
324,MAI1502A709,all
325,MAI1502A710,all
326,MAI1502A711,all
327,MAI1502A712,all
328,MAI1502A713,all
329,MAI1502A714,all
330,MAI1502A715,all
331,MAI1502A716,all
332,MAI1502A717,all
333,MAI1502A718,all
334,MAI1502A719,all
335,MAI1502A720,all
336,MAI1502A721,all
